Season,Round,ID,Date,Enemy,G1_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G2_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G3_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G4_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G5_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G6_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G7_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G8_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player,G9_Player,G1_Class,G1_Res,G1_E_Class,G1_E_Player
第7回,2,44,2023/05/14,,poke,R,l,D,,nobu,W,l,R,,nobu,W,w,Nc,,noa,V,l,V,,そー,D,l,Nc,,poke,R,l,W,,,,,,,,,,,,ホーク,Nc,,,
第7回,3,45,2023/05/18,,かいっく,D,w,Nm,,ヒヨぴー,Nc,w,W,,くろっち,B,l,D,,エリス,W,l,Nc,,くろっち,B,w,R,,エリス,W,l,W,,そー,V,w,R,,エリス,W,l,Nm,,エリス,W,l,R,
第7回,4,46,2023/05/22,,そー,D,l,Nc,,maho,W,l,W,,maho,W,l,B,,イクラ,Nc,w,D,,ヒヨぴー,V,l,D,,maho,W,l,V,,,,,,,,,,,,くろっち,,,,
第7回,5,47,2023/05/26,,みかにゃん,B,l,W,,ヒヨぴー,V,l,R,,そー,Nc,w,B,,nobu,W,l,D,,かいっく,D,w,B,,nobu,W,w,Nc,,みかにゃん,B,w,Nc,,ヒヨぴー,V,w,Nc,,,,,,
第7回,6,48,2023/05/30,,そー,D,w,R,,イクラ,W,l,W,,ヒヨぴー,V,l,R,,イクラ,W,l,V,,母なるママ,Nc,w,B,,ヒヨぴー,V,l,B,,イクラ,W,l,D,,,,,,,ホーク,B,,,
第7回,7,49,2023/06/03,,nobu,V,l,R,,みかにゃん,B,l,Nc,,かいっく,D,l,D,,かいっく,D,l,W,,みかにゃん,B,l,V,,,,,,,,,,,,maho,W,,,,母なるママ,Nc,,,
第8回,1,50,2023/08/07,Nr-s,maho,V,w,W,,くろっち,Nm,l,Nm,,ヒヨぴー,Nc,l,R,,そー,B,w,Nc,,nanashi,D,l,B,,nanashi,D,w,Nc,,ヒヨぴー,Nc,l,Nc,,ヒヨぴー,Nc,l,W,,,,,,
第8回,2,51,2023/08/11,Buv,ホーク,W,w,Nc,,そー,R,l,R,,みかにゃん,B,l,Nc,,nobu,Nm,l,W,,ヒヨぴー,Nc,w,Nm,,そー,R,w,B,,みかにゃん,B,l,B,,nobu,Nm,w,Nm,,みかにゃん,B,w,Nm,
第8回,3,52,2023/08/18,KMY,かいっく,B,w,E,,クレピー,D,l,E,,くろっち,E,w,W,,クレピー,D,l,W,,そー,R,l,Nm,,maho,Nm,l,R,,そー,R,l,B,,,,,,,,,,,
第8回,4,53,2023/08/21,MS AST,maho,Nm,w,W,,そー,W,l,D,,nobu,B,w,Nm,,そー,W,w,Nm,,くろっち,E,l,B,,ヒヨぴー,R,l,W,,くろっち,E,l,R,,ヒヨぴー,R,l,Nm,,,,,,
第8回,5,54,2023/08/26,HR,poke,Nc,w,V,,そー,W,w,E,,ヒヨぴー,B,w,B,,maho,R,l,B,,nobu,Nm,l,R,,maho,R,w,Nm,,nobu,Nm,w,,,,,,,,,,,,
第8回,6,55,2023/08/31,Kl'avia,poke,Nm,w,Nc,,ホーク,B,w,Nc,,エリス,Nc,w,Nm,,そー,W,l,Nc,,そー,W,l,B,,maho,R,l,E,,そー,W,l,Nm,,そー,W,w,R,,maho,R,l,R,
第8回,7,56,2023/09/02,HIT,ホーク,Nm,w,Nc,,みかにゃん,B,l,Nc,,みかにゃん,B,l,Nm,,そー,Nc,w,R,,ヒヨぴー,E,w,D,,みかにゃん,B,l,B,,nobu,R,l,R,,みかにゃん,B,l,D,,,,,,
第9回,1,57,2023/11/09,KMY,かいっく,D,w,B,,ヒヨぴー,W,w,W,,ホーク,B,l,R,,くろっち,V,l,B,,そー,R,l,V,,くろっち,V,l,W,,ホーク,B,w,D,,そー,R,w,D,,くろっち,V,w,D,
第9回,2,58,2023/11/13,CoF,かいっく,D,w,B,,母なるママ,R,l,R,,くろっち,V,w,D,,そー,B,w,W,,母なるママ,R,l,D,,ヒヨぴー,W,w,W,,母なるママ,R,l,V,,母なるママ,R,l,B,,母なるママ,R,l,W,
第9回,3,59,2023/11/17,TM,ヒヨぴー,W,l,D,,そー,V,w,E,,かいっく,D,w,W,,ホーク,B,l,V,,ホーク,B,l,E,,くろっち,E,l,W,,ヒヨぴー,W,w,R,,くろっち,E,l,R,,,,,,
第9回,4,60,2023/11/25,Paradox,エリス,W,w,Nm,,ホーク,B,l,B,,そー,R,l,W,,くろっち,E,l,D,,nanashi,D,l,R,,くろっち,E,w,Nm,,そー,R,w,Nm,,nanashi,D,w,Nm,,ホーク,B,l,Nm,
第9回,5,61,2023/11/25,華舞,poke,W,w,D,,nobu,E,l,W,,母なるママ,B,w,D,,nobu,E,w,R,,かいっく,D,l,R,,みんち,R,w,B,,かいっく,D,w,B,,,,,,,,,,,
第9回,6,62,2023/11/29,TMT,エリス,W,l,B,,みんち,R,l,R,,そー,B,l,V,,エリス,W,l,Nm,,nanashi,D,l,E,,,,,,,,,,,,,,,,,くろっち,E,,,
第10回,1,63,2024/02/03,IG,斑目彩華,Nm,l,B,,ヒヨぴー,E,w,W,,maho,W,l,E,,maho,W,l,D,,poke,Nc,w,R,,かいっく,D,l,R,,かいっく,D,w,Nm,,maho,W,l,Nm,,,,,,
第10回,2,64,2024/02/07,KMY,リボンズ,E,w,W,,SKY,D,w,Nm,,イクラ,Nm,l,D,,エリス,B,w,E,,かいっく,Nc,l,Nc,,かいっく,Nc,w,E,,イクラ,Nm,w,W,,,,,,,,,,,
第10回,3,65,2024/02/12,ﾅﾛﾅｶﾝﾊﾟﾆｰ,nobu,E,l,E,,みこと,D,l,Nm,,ホーク,Nm,l,Nc,,nobu,E,w,D,,かいっく,Nc,w,D,,ホーク,Nm,l,W,,そー,W,w,D,,みこと,D,w,D,,ホーク,Nm,l,D,
第10回,4,66,2024/02/15,Paradox,ヒヨぴー,E,l,D,,かいっく,D,l,Nm,,かいっく,D,l,E,,母なるママ,Nc,l,W,,かいっく,D,l,Nc,,,,,,,,,,,,maho,W,,,,くろっち,Nm,,,
第10回,5,67,2024/02/20,EMT,みんち,R,w,V,,リボンズ,Nc,w,E,,ホーク,Nm,w,D,,nanashi,D,w,Nc,,ヒヨぴー,E,w,Nc,,,,,,,,,,,,,,,,,,,,,
第10回,6,68,2024/02/24,Nr-s,母なるママ,V,l,D,,くろっち,Nm,l,E,,母なるママ,V,w,Nc,,リボンズ,D,w,V,,poke,Nc,w,V,,ヒヨぴー,E,l,Nc,,くろっち,Nm,l,V,,ヒヨぴー,E,w,Nm,,くろっち,Nm,w,Nm,
第10回,7,69,2024/02/28,YRND,maho,D,l,Nm,,maho,D,l,V,,ホーク,V,l,E,,poke,Nc,w,Nc,,イクラ,Nm,l,D,,maho,D,w,Nc,,みんち,E,l,Nc,,,,,,,,,,,
第11回,1,70,2024/05/18,Asterisk,母なるママ,V,l,Nc,,poke,W,l,W,,かいっく,D,w,V,,エリス,Nc,w,E,,母なるママ,V,w,V,,poke,W,l,V,,poke,W,l,E,,poke,W,w,B,,ホーク,B,w,B,
第11回,2,71,2024/05/22,ist,,,w,,,nanashi,V,l,E,,みんち,R,w,Nc,,poke,Nc,l,V,,くろっち,Nm,l,D,,そー,B,w,Nc,,くろっち,Nm,w,B,,poke,Nc,w,Nc,,,,,,
第11回,3,72,2024/05/26,Vi'a,みんち,R,w,Nc,,くろっち,Nm,l,W,,そー,B,w,V,,くろっち,Nm,w,R,,みこと,V,l,Nm,,みこと,V,l,Nc,,SKY,Nc,w,V,,みこと,V,w,V,,,,,,
第11回,4,73,2024/05/30,Zenith,nanashi,D,l,W,,かいっく,B,l,V,,かいっく,B,l,E,,みこと,V,w,Nm,,nobu,Nc,w,B,,くろっち,Nm,l,Nm,,くろっち,Nm,l,B,,,,,,,,,,,
第11回,5,74,2024/06/03,Protea,,,w,,,poke,W,l,W,,かいっく,B,l,B,,みこと,E,w,Nm,,poke,W,w,V,,そー,V,w,V,,かいっく,B,w,Nm,,,,,,,くろっち,,,,
第11回,6,75,2024/06/07,ﾅﾛﾅｶﾝﾊﾟﾆｰ,くろっち,Nm,l,B,,そー,V,l,Nm,,ホーク,B,l,W,,poke,W,w,E,,みこと,E,w,E,,そー,V,w,V,,ホーク,B,l,E,,くろっち,Nm,l,V,,,,,,
第11回,TOP16,76,2024/06/13,-R.I.P.-,,,l,,,みんち,R,l,B,,SKY,W,l,D,,みんち,R,l,Nc,,くろっち,Nm,l,W,,,,,,,,,,,,そー,V,,,,かいっく,B,,,
第13回前半,1,77,2025/09/24,WLU,ありす,Ni,l,Ni,,シャルル,E,w,W,,ありす,Ni,l,W,,カニカマ,B,w,E,,poke,W,l,B,,ありす,Ni,w,E,,poke,W,l,E,,poke,W,l,R,,みんち,,,,
第13回前半,2,78,2025/09/28,.LyNX,nanashi,W,l,B,,かいっく,Ni,w,W,,そー,B,w,W,,みんち,R,w,Ni,,nanashi,W,w,E,,シャルル,E,l,R,,シャルル,E,l,Ni,,シャルル,E,l,E,,シャルル,E,w,W,
第13回前半,3,79,2025/10/02,IAM,ホーク,E,w,W,,みかにゃん,B,l,Ni,,そー,W,w,Nm,,はる,Ni,l,R,,はる,Ni,w,W,,さくちゃ,D,w,B,,みかにゃん,B,w,W,,,,,,,,,,,
第13回前半,4,80,2025/10/06,ODD,みんち,R,w,R,,Azure,Ni,w,R,,ヒヨぴー,E,w,R,,そー,B,l,R,,そー,B,w,W,,かいっく,W,w,W,,,,,,,,,,,,,,,,
第13回前半,5,81,2025/10/10,TU,シャルル,E,l,R,,シャルル,E,l,E,,そー,B,w,Ni,,かいっく,W,l,B,,シャルル,E,w,Ni,,Azure,Ni,w,W,,みんち,R,l,Ni,,みんち,R,l,W,,,,,,
第13回前半,6,82,2025/10/14,TU,かいっく,Ni,l,B,,みんち,R,l,W,,そー,B,l,Nm,,かいっく,Ni,w,E,,みんち,R,l,E,,そー,B,w,R,,Liel,W,w,R,,みんち,R,w,R,,ヒヨぴー,E,l,R,
第13回前半,7,83,2025/10/18,vamos,みかにゃん,B,w,W,,さくちゃ,D,w,B,,SKY,R,w,B,,そー,W,w,D,,かいっく,Ni,w,Ni,,,,,,,,,,,,,,,,,,,,,
第13回後半,8,84,2025/11/12,NTD,そー,Nm,l,R,,そー,Nm,l,W,,Light,D,l,Nm,,そー,Nm,w,B,,poke,Ni,l,B,,Light,D,l,Ni,,,,,,,みんち,R,,,,ヒヨぴー,W,,,
第13回後半,9,85,2025/11/16,UFV,みんち,R,l,Ni,,Liel,Ni,w,Nm,,SKY,W,l,Nm,,ありす,B,l,R,,そー,Nm,l,W,,ありす,B,w,D,,みんち,R,w,D,,そー,Nm,w,D,,SKY,W,l,D,
第13回後半,10,86,2025/11/20,TK,そー,Ni,l,R,,Light,B,w,E,,かいっく,R,w,E,,そー,Ni,l,Nm,,そー,Ni,l,Ni,,カニカマ,Nm,l,E,,カニカマ,Nm,l,W,,,,,,,ヒヨぴー,W,,,
第13回後半,11,87,2025/11/24,ReStR,みかにゃん,B,l,Nm,,かいっく,R,w,B,,poke,Nm,w,B,,みかにゃん,B,w,Ni,,みんち,W,l,R,,SKY,Ni,l,B,,みんち,W,l,Ni,,みんち,W,l,W,,,,,,
第13回後半,12,88,2025/11/28,CSV,そー,B,l,W,,かいっく,R,l,Ni,,かいっく,R,w,Nm,,SKY,Ni,l,R,,poke,Nm,w,B,,そー,B,w,B,,みんち,W,l,B,,SKY,Ni,l,Nm,,,,,,
第13回後半,13,89,2025/12/02,十禍V傑,nanashi,Nm,l,B,,シャルル,E,l,W,,かいっく,R,w,Nm,,ヒヨぴー,W,l,R,,そー,B,w,Ni,,シャルル,E,w,Nm,,nanashi,Nm,w,Nm,,ヒヨぴー,W,l,Nm,,ヒヨぴー,W,w,Ni,
第13回後半,14,90,2025/12/06,Luna,みんち,R,l,E,,みかにゃん,B,w,R,,poke,Nm,w,D,,SKY,W,w,D,,みんち,R,w,D,,さくちゃ,D,w,D,,,,,,,,,,,,,,,,
第14回前半,1,91,2026/01/28,COL,そー,Nm,l,Nm,,ヒヨぴー,R,w,W,,poke,B,w,B,,SKY,D,l,D,,maho,W,w,W,,そー,Nm,w,R,,SKY,D,w,R,,,,,,,,,,,
第14回前半,2,92,2026/01/28,NVA,そー,Nm,w,Nm,,かいっく,D,l,D,,maho,W,l,B,,かいっく,D,w,W,,maho,W,l,R,,みかにゃん,B,l,W,,みかにゃん,B,w,Nm,,maho,W,w,Nm,,poke,R,l,Nm,
